player,position,team,age,club,birth_year,games,games_starts,minutes,minutes_90s,goals,assists,goals_pens,cards_yellow,cards_red
Lionel Messi,FW,Argentina,35-177,Paris S-G,1987,7,7,690,7.7,7,3,3,1,0
Ángel Di María,MF,Argentina,34-307,Juventus,1988,5,4,288,3.2,1,1,1,0,0
Craig Goodwin,MF,Australia,31-002,Adelaide,1991,4,3,234,2.6,1,1,1,0,0
Fran Karačić,DF,Australia,26-220,Brescia,1996,2,1,93,1,0,0,0,0,0
Bryan Mbeumo,FW,Cameroon,23-133,Brentford,1999,3,3,233,2.6,0,0,0,0,0
Christian Bassogog,MF,Cameroon,27-061,Shanghai Shen,1995,1,0,24,0.3,0,0,0,1,0
Johan Venegas,FW,Costa Rica,34-021,Liga Deportiva Alajuelense,1988,1,1,73,0.8,0,0,0,0,0
Juan Pablo Vargas,DF,Costa Rica,27-195,Millonarios,1995,1,1,90,1,1,0,1,0,0
Adrien Rabiot,MF,France,27-259,Juventus,1995,6,5,483,5.4,1,1,1,1,0
Antoine Griezmann,MF,France,31-272,Atlético Madrid,1991,7,6,537,6,0,3,0,1,0
Axel Witsel,MF,Belgium,33-340,Atlético Madrid,1989,3,3,270,3,0,0,0,0,0
Yannick Carrasco,FW,Belgium,29-105,Atlético Madrid,1993,2,2,116,1.3,0,0,0,1,0
