player,position,team,age,club,birth_year,games,games_starts,minutes,minutes_90s,goals,assists,goals_pens,cards_yellow,cards_red
Alexis Mac Allister,MF,Argentina,23-359,Brighton,1998,6,6,550,6.1,1,1,1,0,0
Cristian Romero,DF,Argentina,24-235,Tottenham,1998,7,6,547,6.1,0,0,0,2,0
Emiliano Martínez,GK,Argentina,30-107,Aston Villa,1992,7,7,690,7.7,0,0,0,1,0
Enzo Fernández,MF,Argentina,21-335,Benfica,2001,7,5,564,6.3,1,1,1,1,0
Exequiel Palacios,MF,Argentina,24-074,Leverkusen,1998,3,0,50,0.6,0,0,0,0,0
Germán Pezzella,DF,Argentina,31-174,Betis,1991,3,0,60,0.7,0,0,0,1,0
Gonzalo Montiel,DF,Argentina,25-351,Sevilla,1997,4,1,118,1.3,0,0,0,3,0
Guido Rodríguez,MF,Argentina,28-250,Betis,1994,1,1,56,0.6,0,0,0,0,0
Juan Foyth,DF,Argentina,24-340,Villarreal,1998,1,0,5,0.1,0,0,0,0,0
Julián Álvarez,FW,Argentina,22-321,Manchester City,2000,7,5,464,5.2,4,0,4,0,0
Lautaro Martínez,FW,Argentina,25-118,Inter,1997,6,2,241,2.7,0,0,0,0,0
Leandro Paredes,MF,Argentina,28-172,Juventus,1994,5,2,225,2.5,0,0,0,2,0
Lionel Messi,FW,Argentina,35-177,Paris S-G,1987,7,7,690,7.7,7,3,3,1,0
Lisandro Martínez,DF,Argentina,24-334,Manchester Utd,1998,5,2,303,3.4,0,0,0,1,0
Marcos Acuña,DF,Argentina,31-051,Sevilla,1991,6,4,373,4.1,0,0,0,3,0
Nahuel Molina,DF,Argentina,24-256,Atlético Madrid,1998,7,6,567,6.3,1,1,1,0,0
Nicolás Otamendi,DF,Argentina,34-309,Benfica,1988,7,7,690,7.7,0,1,0,2,0
Nicolás Tagliafico,DF,Argentina,30-109,Lyon,1992,6,3,373,4.1,0,0,0,0,0
Papu Gómez,MF,Argentina,34-306,Sevilla,1988,2,2,107,1.2,0,0,0,0,0
